ID,Star,AltName,Karmn,RA_J2000,DE_J2000,SpT,SpTnum,d_pc,ed_pc,Lbol_Lsol,eLbol_Lsol,Teff_K,eTeff_K,R_Rsol,eR_Rsol,M_Msol,eM_Msol,J_mag,eJ_mag,Ks_mag,eKs_mag,Planet,TOI,Porb_d,a_au,R_Rterra,euR_Rterra,edR_Rterra,M_Mterra,euM_Mterra,edM_Mterra,rho_gcm-3,eurho_gcm-3,edrho_gcm-3,Teq_K,euTeq_K,edTeq_K,TSM,ESM,Method,DiscoveryRef,ParameterRef
1,GJ 3053,LHS 1140,J00449-152,00:44:59.33,-15:16:17.5,M4.5 V,4.5,14.993,0.015,0.004350279,7.228337E-5,2988,67,0.2134,0.0041,0.191,0.012,9.612,0.023,8.821,0.024,b,256.01,24.73694,0.0957,1.635,0.046,0.046,6.38,0.46,0.44,8.04,0.84,0.8,378.9,4.3,4.2,8.88,0.19,RV,Dit17,Dit17 Men19 Lil20
2,GJ 3053,LHS 1140,J00449-152,00:44:59.33,-15:16:17.5,M4.5 V,4.5,14.993,0.015,0.004350279,7.228337E-5,2988,67,0.2134,0.0041,0.191,0.012,9.612,0.023,8.821,0.024,c,256.02,3.777929,0.02734,1.169,0.037,0.038,1.76,0.17,0.16,6.07,0.81,0.74,708.9,8.0,7.8,25.9,3.45,RV,Dit17,Dit17 Men19 Lil20
3,LHS 1478,TOI-1640,J02573+765,02:57:17.51,+76:33:13.0,m3 V,3.0,18.2137,0.0059,0.0071494826,1.2426295E-4,3381,54,0.2464,0.0082,0.236,0.012,9.615,0.026,8.767,0.022,b,1640.01,1.9495378,0.01848,1.242,0.051,0.049,2.33,0.2,0.2,6.67,1.03,0.89,595.0,10.0,10.0,7.28,19.35,RV,Sot21,Sot21
4,TOI-1634,,,03:45:33.64,+37:06:44.0,m2 V,2.0,35.073,0.023,0.0265,0.0024,3472,48,0.451,0.015,0.452,0.014,9.484,0.021,8.6,0.014,b,1634.01,0.9893457,0.01491,1.773,0.077,0.077,9.94,0.94,0.94,9.8,1.7,1.5,921.0,21.0,21.0,30.0,10.0,RV,Hir21,Clou21 Hir21
5,LP 714-47,G 160-62,J04167-120,04:16:45.60,-12:05:02.5,M0.0 V,0.0,52.7,0.11,0.07613427,0.0014208046,3950,51,0.584,0.016,0.59,0.02,9.493,0.024,8.626,0.025,b,442.01,4.052037,0.0417,4.7,0.3,0.3,30.8,1.5,1.5,1.7,0.3,0.3,700.0,19.0,24.0,,,RV,Dre20,Dre20
6,TOI-1685,PM J04343+4302,J04343+430,04:34:22.55,+43:02:13.3,m2 V,2.0,37.609,0.027,0.030348394,5.442926E-4,3434,51,0.492,0.015,0.495,0.019,9.616,0.018,8.758,0.02,b,1685.01,0.6691425,0.01156,1.7,0.07,0.07,3.78,0.63,0.63,4.21,0.95,0.82,1069.0,16.0,16.0,86.0,13.9,RV,Blu21,Hir21 Blu21
7,LHS 1815,L 181-1,,06:04:20.36,-55:18:46.8,M2.5 V,2.5,29.868,0.024,0.041,0.004,3643,142,0.501,0.03,0.502,0.015,8.801,0.024,7.993,0.02,b,704.01,3.81433,0.0404,1.088,0.064,0.064,4.2,1.5,1.5,,,,617.0,84.0,84.0,2.52,1.89,RV,Gan20,Gan20
8,GJ 3470,LP 424-4,J07590+153,07:59:05.84,+15:23:29.2,M1.5 V,1.5,29.446,0.05,0.039550982,6.539751E-4,3725,54,0.474,0.014,0.476,0.019,8.794,0.026,7.989,0.023,b,,3.336649,0.03557,4.032,0.112,0.112,11.44,0.64,0.64,1.036,0.12,0.12,733.0,27.0,27.0,,,RV,Bon12,Bon12 Dem13 Pall20
9,GJ 3473,TOI-488,J08023+033,08:02:22.88,+03:20:19.7,M4.0 V,4.0,27.39,0.04,0.014941934,2.3166703E-4,3347,54,0.36353,0.01206,0.36,0.016,9.627,0.023,8.829,0.024,b,488.01,1.1980035,0.01589,1.264,0.05,0.049,1.86,0.3,0.3,5.03,1.07,0.93,773.0,16.0,15.0,14.3,6.74,RV,Kem20,Kem20
10,TOI-1728,PM J08024+6447,,08:02:26.55,+64:47:48.9,M0 V,0.0,60.8,0.14,0.088,0.002,3980,32,0.6243,0.01,0.646,0.023,9.642,0.019,8.803,0.02,b,1728.01,3.49151,0.0391,5.05,0.16,0.17,26.8,5.4,5.1,1.14,0.26,0.24,767.0,8.0,8.0,130.0,,RV,Kan20,Kan20
11,L 98-59,TOI-175,,08:18:07.62,-68:18:46.8,M3 V,3.0,10.6226,0.0032,0.0113,6.0E-4,3412,49,0.314,0.014,0.312,0.031,7.933,0.027,7.101,0.018,c,175.01,3.6904,0.0317,1.35,0.07,0.07,2.42,0.35,0.34,5.4,1.3,1.0,517.0,11.0,11.0,23.6,3.4,RV,Kos19,Kos19 Clo19
12,L 98-59,TOI-175,,08:18:07.62,-68:18:46.8,M3 V,3.0,10.6226,0.0032,0.0113,6.0E-4,3412,49,0.314,0.014,0.312,0.031,7.933,0.027,7.101,0.018,d,175.02,7.4513,0.0506,1.57,0.14,0.14,2.31,0.46,0.45,3.3,1.3,0.9,409.0,8.0,8.0,212.0,1.5,RV,Kos19,Kos19 Clo19
14,K2-146,2M0840+19,,08:40:06.42,+19:05:34.4,M3.0 V,3.0,79.31,0.45,0.012089559,3.6074154E-4,3385,70,0.33,0.01,0.331,0.009,12.183,0.021,11.37,0.023,b,,2.6446,0.027,2.05,0.06,0.06,5.77,0.18,0.18,3.69,0.21,0.21,590.0,,,,,TTV,Hir18,Hir18 Ham19 Lam20
15,K2-146,2M0840+19,,08:40:06.42,+19:05:34.4,M3.0 V,3.0,79.31,0.45,0.012089559,3.6074154E-4,3385,70,0.33,0.01,0.331,0.009,12.183,0.021,11.37,0.023,c,,4.00498,0.034,2.19,0.07,0.07,7.49,0.24,0.24,3.92,0.27,0.27,520.0,,,,,TTV,Hir18,Hir18 Ham19 Lam20
16,GJ 357,LHS 2157,J09360-216,09:36:01.64,-21:39:38.9,M2.5 V,2.5,9.4444,0.0051,0.01591,3.6E-4,3505,51,0.337,0.015,0.342,0.011,7.3375,0.034,6.475,0.017,b,562.01,3.93072,0.035,1.217,0.084,0.083,1.84,0.31,0.31,5.6,1.7,1.3,525.0,11.0,9.0,26.5,6.6,RV,Luq19,Luq19
