System Type RA(deg) Dec(deg) Vmag Kmag length depth T0(HJDorBJD) T0err Period(day) Perioderr Teff err err_1 [Fe/H] erru errd M_A errup errdn R_A errup_1 errdn_1 loggA errup_2 errdn_2 rho_A errup_3 errdn_3 e errup_4 errdown a(AU) errup_5 errdown_1 M_b errup_6 errdn_4 R_b errup_7 errdn_5 g_b errup_8 errdn_6 rho_b errup_9 errdn_7 Teq err_2 err_3 Lambda err_4 err_5 Psi err_6 err_7
55_Cnc_e TEP 133.14921 28.33083 5.95 4.01 0.06433 0.039 2458723.38328 0.00014 0.73654604 1.6e-07 5172 18 18 0.35 0.1 0.1 0.873 0.051 0.035 0.954 0.017 0.018 4.43 0.02 0.02 1.0 0.11 0.07 0.05 0.03 0.03 0.01544 5e-05 0.00005 0.0243 0.0012 0.0009 0.1692 0.0039 0.0041 21.4 2.1 1.9 4.71 0.56 0.53 2349.0 188.0 193.0 10.0 17.0 20.0 23.0 14.0 12.0
pi_Men_c TEP 84.29121 -80.46911 5.67 4.24 0.1246 0.03 2458509.8068 0.0003 6.267852 1.6e-05 5998 62 62 0.09 0.04 0.04 1.091 0.031 0.031 1.19 0.004 0.004 4.365 0.007 0.007 0.7442 0.0009 0.0009 0.066 0.086 0.047 0.06876 0.00065 0.00065 0.0114 0.0012 0.0012 0.1914 0.0013 0.0013 11.0 1.9 9.5 2.1 0.4 0.4 1170.0 2.8 4.3 -24.0 4.1 4.1 26.9 5.8 4.7
CoRoT-07 TEP 100.95613 -1.06303 11.72 9.81 0.04413 0.034 2454398.07756 0.00059 0.85359159 5.7e-07 5313 73 73 0.03 0.07 0.07 0.884 0.029 0.032 0.8389 0.0093 0.0088 4.573 0.011 0.011 1.49 0.12 0.13 0.0 0.32 0.0 0.01702 0.00017 0.00004 0.0191 0.002 0.002 0.141 0.009 0.009 21.5 3.5 3.0 4.9 2.1 2.3 1756.0 27.0 27.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
GJ_9827b TEP 351.77017 -1.28628 10.51 7.19 0.06792 0.06 2457738.82586 0.00026 1.2089819 7e-06 4305 49 49 -0.5 0.08 0.08 0.606 0.02 0.014 0.602 0.005 0.004 4.72 0.1 0.10 3.47 0.27 0.73 0.0 -1.0 -1.0 0.0188 0.0002 0.00014 0.0154 0.0015 0.0015 0.1407 0.0024 0.0028 13.95 3.91 2.98 5.22 0.62 0.57 1114.0 46.0 26.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
GJ_9827d TEP 351.77017 -1.28628 10.51 7.19 0.06667 0.08 2457740.96115 0.00045 6.20147 6.2e-05 4305 49 49 -0.5 0.08 0.08 0.606 0.02 0.014 0.602 0.005 0.004 4.72 0.1 0.10 3.47 0.27 0.73 0.0 -1.0 -1.0 0.05591 0.00059 0.00041 0.0127 0.0026 0.0026 0.1804 0.0041 0.0038 5.34 2.19 1.75 2.02 0.44 0.43 646.0 26.0 15.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
HAT-P-11 TEP 297.70938 48.08086 9.47 7.01 0.098 0.43 2454957.813207 5e-06 4.88780244 3e-08 4780 50 50 0.31 0.05 0.05 0.802 0.028 0.028 0.683 0.009 0.009 4.663 0.012 0.012 2.415 0.097 0.097 0.2644 0.0006 0.0006 0.05259 0.00062 0.00062 0.0873 0.0097 0.0097 0.389 0.0053 0.0053 13.2 1.1 1.1 1.26 0.12 0.12 838.0 10.0 10.0 133.9 7.1 8.3 104.9 8.6 9.1
HD_003167b TEP 8.73967 4.38147 8.94 7.07 0.06705 0.03 2457394.37421 0.00036 0.95965428 3e-07 5300 73 73 0.037 0.048 0.048 0.852 0.026 0.015 0.871 0.006 0.006 4.47 0.05 0.05 1.289 0.041 0.041 0.0 0.1 0.0 0.01802 0.00025 0.00025 0.0149 0.0009 0.0009 0.1496 0.0032 0.0032 -1.0 -1.0 -1 4.15 0.39 0.37 1777.0 27.0 27.0 -6.6 6.6 7.9 29.5 7.2 9.4
HD_003167c TEP 8.73967 4.38147 8.94 7.07 0.2029 0.1 2457394.97778 0.00057 29.846495 1.6e-05 5300 73 73 0.037 0.048 0.048 0.852 0.026 0.015 0.871 0.006 0.006 4.47 0.05 0.05 1.289 0.041 0.041 0.0 0.15 0.0 0.1783 0.0025 0.0025 0.0336 0.0027 0.0025 0.2604 0.0044 0.0043 -1.0 -1.0 -1 1.77 0.17 0.16 565.0 9.0 9.0 -108.9 5.4 5.5 107.7 5.1 4.9
HD_015337b TEP 36.86825 -27.63519 9.18 7.04 0.1049 0.03 2458411.46165 0.00057 4.756216 8.1e-05 5125 50 50 0.15 0.1 0.1 0.9 0.03 0.03 0.856 0.017 0.017 4.52 0.02 0.02 -1.0 -1.0 -1.0 0.09 0.06 0.06 0.0535 0.0016 0.0016 0.024 0.003 0.003 0.1414 0.005 0.005 -1.0 -1.0 -1 7.9 1.4 1.2 989.0 15.0 15.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
HD_015337c TEP 36.86825 -27.63519 9.18 7.04 0.0928 0.08 2458414.55162 0.00075 17.17753 0.00077 5125 50 50 0.15 0.1 0.1 0.9 0.03 0.03 0.856 0.017 0.017 4.52 0.02 0.02 -1.0 -1.0 -1.0 0.08 0.1 0.06 0.1261 0.0038 0.0038 0.0232 0.0051 0.0051 0.206 0.0098 0.0092 -1.0 -1.0 -1 2.5 0.7 0.6 644.0 10.0 10.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
HD_020329 TEP 49.17762 15.65722 8.74 7.12 0.0526 0.02 2459472.14321 0.00079 0.926118 0.00047 5596 50 50 -0.07 0.06 0.0 0.9 0.05 0.05 1.13 0.02 0.02 4.4 0.07 0.07 0.62 0.05 0.05 0.0 -1.0 -1.0 0.018 0.0003 0.0003 0.0233 0.0034 0.0034 0.153 0.006 0.006 24.7 4.1 4.1 6.1 1.2 1.2 2141.0 17.0 17.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
HD_021749b TEP 51.75021 -63.50017 8.14 5.38 0.138 0.14 2458350.3122 0.0007 35.6133 0.0005 4640 100 100 0.003 0.06 0.06 0.73 0.07 0.07 0.695 0.03 0.03 4.613 0.052 0.061 2.88 0.53 0.4 0.0 -1.0 -1.0 0.209 0.022 0.021 0.0629 0.0085 0.0085 0.255 0.019 0.018 -1.0 -1.0 -1 3.5 1.4 1.1 407.0 22.0 19.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
HD_023472b TEP 34.64937 -62.76728 9.72 7.35 0.111 0.07 2458360.6641 0.0012 17.667087 4.2e-05 4684 99 99 -0.2 0.05 0.05 0.67 0.03 0.03 0.71 0.02 0.02 4.53 0.08 0.08 1.88 0.18 0.18 0.042 0.034 0.026 0.1162 0.0018 0.0018 0.0262 0.0025 0.0025 0.178 0.01 0.009 -1.0 -1.0 -1 4.64 0.9 0.75 543.0 18.0 18.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
HD_063935b TEP 117.925 9.38606 8.58 6.88 0.14 0.09 2458494.4462 0.001 9.058811 1.7e-05 5534 100 100 0.07 0.06 0.06 0.933 0.054 0.054 0.959 0.042 0.042 4.38 0.1 0.1 -1.0 -1.0 -1.0 0.0 -1.0 -1.0 -1.0 -1.0 -1 0.034 0.0057 0.0057 0.267 0.012 0.012 -1.0 -1.0 -1 1.6 0.4 0.4 911.0 27.0 27.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
HD_063935c TEP 117.925 9.38606 8.58 6.88 0.202 0.08 2459231.828 0.0014 21.402 0.0019 5534 100 100 0.07 0.06 0.06 0.933 0.054 0.054 0.959 0.042 0.042 4.38 0.1 0.1 -1.0 -1.0 -1.0 0.0 -1.0 -1.0 -1.0 -1.0 -1 0.0349 0.0075 0.0075 0.259 0.012 0.012 -1.0 -1.0 -1 1.9 0.5 0.5 684.0 21.0 21.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
HD_073583c TEP 129.68858 -13.25669 9.67 6.95 0.1527 0.2 2459232.1682 0.0022 18.87974 0.0008 4511 110 110 0.0 0.09 0.09 0.73 0.02 0.02 0.65 0.02 0.02 4.62 0.12 0.12 2.66 0.27 0.27 0.08 0.11 0.06 0.1242 0.0055 0.0054 0.031 0.006 0.005 0.213 0.009 0.008 16.6 3.4 3.2 2.92 0.69 0.6 498.0 15.0 15.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
HD_080653 TEP 140.33925 14.36792 9.45 8.02 0.0749 0.02 2458134.4244 0.0007 0.719573 2.1e-05 6022 72 72 0.25 0.05 0.05 1.18 0.04 0.04 1.22 0.01 0.01 4.34 0.02 0.02 0.64 0.04 0.04 0.0 -1.0 -1.0 0.0166 0.0003 0.0003 0.0176 0.0014 0.0014 0.1439 0.0063 0.0063 -1.0 -1.0 -1 5.6 0.8 0.8 3167.0 40.0 40.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
HD_086226c TEP 149.12433 -24.09939 8.0 6.46 0.13 0.04 2458543.2539 0.0007 3.98442 0.00018 5863 88 88 0.018 0.057 0.043 1.019 0.061 0.066 1.053 0.026 0.026 4.4 0.029 0.032 0.869 0.065 0.064 0.075 0.065 0.048 0.049 0.001 0.001 0.0228 0.0037 0.0035 0.193 0.007 0.007 -1.0 -1.0 -1 2.99 0.59 0.55 1311.0 28.0 28.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
HD_093963c TEP 162.77712 52.64117 9.18 7.78 0.0945 0.081 2458902.87274 0.00098 3.64514 1.2e-05 5987 64 64 0.1 0.04 0.04 1.109 0.043 0.043 1.043 0.009 0.009 4.49 0.11 0.11 1.387 0.064 0.064 -1.0 -1.0 -1.0 0.04813 0.00085 0.00085 0.06 0.012 0.012 0.288 0.0053 0.0053 -1.0 -1.0 -1 -1.0 -1.0 -1.0 1344.0 18.0 18.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
HD_095338 TEP 164.85958 -56.62303 8.6 6.59 0.5 0.3 2458585.2795 0.0006 55.087 0.02 5212 16 11 0.04 0.1 0.1 0.83 0.02 0.02 0.87 0.04 0.04 4.54 0.21 0.21 -1.0 -1.0 -1.0 0.197 0.029 0.024 0.262 0.002 0.002 0.1335 0.007 0.0065 0.347 0.017 0.018 -1.0 -1.0 -1 3.0 0.47 0.48 385.0 17.0 17.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
HD_097658 TEP 168.63817 25.71039 7.71 5.73 0.1187 0.077 2456361.8058 0.00024 9.4893077 1.5e-06 5170 44 44 -0.23 0.03 0.03 0.77 0.05 0.05 0.746 0.016 0.034 4.583 0.047 0.054 1.89 0.23 0.2 0.03 0.034 0.032 0.08 0.0017 0.0018 0.0246 0.0017 0.0014 0.2005 0.0087 0.0085 14.7 2.1 1.9 2.85 0.46 0.38 757.0 12.0 13.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
