System Type RA(deg) Dec(deg) Vmag Kmag length depth T0(HJDorBJD) T0err Period(day) Perioderr Teff err err_1 [Fe/H] erru errd M_A errup errdn R_A errup_1 errdn_1 loggA errup_2 errdn_2 rho_A errup_3 errdn_3 e errup_4 errdown a(AU) errup_5 errdown_1 M_b errup_6 errdn_4 R_b errup_7 errdn_5 g_b errup_8 errdn_6 rho_b errup_9 errdn_7 Teq err_2 err_3 Lambda err_4 err_5 Psi err_6 err_7
G_9-40 TEP 134.71804 21.07617 13.82 9.19 0.0705 0.37 2459503.32682 0.00042 5.7459982 2e-06 3395 51 51 -0.07 0.16 0.16 0.295 0.014 0.014 0.3026 0.0095 0.0095 4.84 0.04 0.04 10.0 0.7 0.65 0.0 -1.0 -1.0 0.0418 0.00064 0.00064 0.0126 0.002 0.002 0.1695 0.0058 0.0058 10.8 1.8 1.8 2.41 0.51 0.4 441.0 8.0 8.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
GJ_0357 TEP 144.00683 -21.66081 10.91 6.48 0.053 0.1 2458517.9994 0.0001 3.93086 4e-05 3505 51 51 -0.12 0.16 0.16 0.342 0.011 0.011 0.337 0.015 0.015 4.94 0.07 0.07 9.2 1.1 1.1 0.0 -1.0 -1.0 0.033 0.001 0.001 0.0066 0.001 0.001 0.1041 0.0033 0.0032 11.7 2.6 2.3 1.81 0.34 0.31 531.0 12.0 11.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
GJ_0367 TEP 146.12433 -45.7765 9.98 5.78 0.0256 0.02 2458544.1348 0.0004 0.321962 1.1e-05 3522 70 70 -0.01 0.12 0.12 0.454 0.011 0.011 0.457 0.013 0.013 4.777 0.026 0.026 4.76 0.33 0.39 0.0 -1.0 -1.0 0.0071 0.0002 0.0002 0.0017 0.0002 2e-05 0.0641 0.0048 0.0048 -1.0 -1.0 -1 6.1 1.6 1.6 1745.0 43.0 43.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
GJ_0436 TEP 175.54621 26.70656 10.68 6.07 0.04189 0.6 2455475.8245 3e-05 2.64389759 7e-08 3416 54 54 -0.03 0.2 0.2 0.507 0.071 0.062 0.455 0.018 0.018 4.83 0.03 0.03 5.37 0.3 0.27 0.1616 0.0041 0.0032 0.0308 0.0013 0.0012 0.0799 0.0066 0.0063 0.366 0.014 0.014 13.0 1.0 1 1.55 0.12 0.1 669.0 22.0 22.0 114.0 23.0 17.0 103.0 13.0 12.0
GJ_0486 TEP 191.98592 9.75139 11.4 6.36 0.04512 0.13 2459309.67651 0.0001 1.4671205 1.2e-06 3291 75 75 -0.15 0.13 0.13 0.333 0.019 0.019 0.339 0.015 0.015 4.82 0.12 0.12 -1.0 -1.0 -1.0 0.0 -1.0 -1.0 0.01713 0.00091 0.00098 0.0094 0.0004 0.0004 0.1198 0.0056 0.0055 16.3 1.7 1.7 5.11 0.81 0.69 706.0 19.0 20.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
GJ_0806 TEP 311.26708 44.49906 10.7 6.53 0.0388 0.1 2459445.57371 0.00015 0.9263237 9e-07 3600 16 16 -0.28 0.07 0.07 0.413 0.011 0.011 0.4144 0.0038 0.0038 4.98 0.12 0.12 6.09 0.32 0.33 -1.0 -1.0 -1.0 0.01406 0.0003 0.00030 0.006 0.0005 0.0005 0.1187 0.0021 0.0021 10.4 1.0 1.0 3.32 0.34 0.34 940.0 10.0 10.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
GJ_1132 TEP 153.71604 -47.15681 13.49 8.32 0.0326 0.3 2457554.3245 9e-05 1.6289292 4e-07 3270 140 140 -0.12 0.15 0.15 0.181 0.019 0.019 0.2105 0.0102 0.0085 -1.0 -1.0 -1 19.4 2.6 2.5 0.0 0.22 0.0 0.0153 0.0005 0.0005 0.0052 0.0007 0.0007 0.1008 0.005 0.005 12.9 2.2 2.2 4.7 1.0 1.0 529.0 9.0 9.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
GJ_1214 TEP 258.82892 4.96381 14.67 8.78 0.0365 1.4 2455701.413328 6.3e-05 1.58040433 1.3e-07 3250 100 100 0.29 0.12 0.12 0.178 0.01 0.01 0.215 0.008 0.008 5.026 0.04 0.040 18.0 2.5 2.1 0.0 0.063 0.0 0.01411 0.00032 0.00032 0.0257 0.0014 0.0014 0.2446 0.0045 0.0047 10.65 0.71 0.67 1.66 0.13 0.12 596.0 19.0 19.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
GJ_1252 TEP 306.92533 -56.457 12.19 7.92 0.0302 0.08 2458668.09748 0.00032 0.5182416 6.9e-07 3458 140 133 0.1 0.1 0.1 0.381 0.019 0.019 0.391 0.02 0.02 -1.0 -1.0 -1 -1.0 -1.0 -1.0 0.0 -1.0 -1.0 0.00916 0.00076 0.00076 0.0042 0.0009 0.0009 0.1053 0.007 0.007 -1.0 -1.0 -1 -1.0 -1.0 -1.0 997.0 53.0 49.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
GJ_3090 TEP 20.43913 -46.71439 11.4 7.29 0.0539 0.15 2458370.41849 0.0003 2.8531054 2.3e-06 3556 70 70 -0.06 0.12 0.12 0.519 0.013 0.013 0.516 0.016 0.016 -1.0 -1.0 -1 3.79 0.38 0.38 0.18 0.12 0.12 0.0317 0.0014 0.0014 0.0104 0.0023 0.0023 0.193 0.009 0.009 6.9 1.7 1.6 1.36 0.38 0.32 692.0 18.0 18.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
